# baseline,music
8.570186380142389426e-01,7.863073423237929571e-01
8.433398905636062537e-01,8.514284759910538680e-01
8.741068722450218154e-01,8.431517196056235175e-01
8.616823818958260217e-01,8.224386550341420410e-01
9.307979394756110691e-01,8.369885507439697170e-01
8.997323401595062053e-01,8.064385574625174691e-01
8.864333174917573555e-01,8.333256255206177299e-01
8.576099743326718317e-01,8.595986940221945760e-01
8.700153036657042316e-01,8.179533354543883084e-01
8.803698112874902559e-01,8.515316110796233851e-01
8.980855188416270174e-01,8.514289592112457283e-01
8.381390034470944661e-01,8.141186024499067475e-01
8.765590281215859259e-01,8.329676401076959724e-01
8.506154883664348576e-01,8.511402914315091550e-01
8.588357184198205374e-01,8.024386901726943133e-01
8.505482694957546830e-01,8.082966384075208621e-01
9.141651841198061845e-01,8.078820939353082986e-01
8.522490943877150116e-01,8.547171116039888883e-01
9.104135653802860606e-01,8.658320201116171955e-01
8.349236908893556963e-01,8.166351265914743029e-01
9.194693713969765980e-01,8.580328827513616918e-01
8.755516655851391938e-01,8.417687841767331758e-01
9.071785980652361525e-01,8.512615058349477515e-01
8.994590225120541183e-01,8.498621521127512901e-01
8.689371554723643865e-01,8.376371799466089119e-01
9.022869307400005479e-01,8.706992261696706592e-01
8.701137648980211692e-01,8.325935350713498107e-01
8.617935856573725184e-01,8.848845103800252465e-01
8.501844893678959236e-01,8.490919360198895260e-01
7.996775600117396188e-01,8.931659345783433679e-01
8.879519227835638295e-01,8.564892630957834374e-01
8.765632467954210805e-01,8.651313501454138688e-01
8.655645268668568093e-01,8.793295966694983923e-01
8.597401757903544439e-01,8.515376088746234862e-01
8.770606549543968899e-01,8.426113296116454210e-01
8.186490356333246954e-01,8.170925465977110225e-01
8.614509081060715001e-01,8.387245171168936642e-01
8.390357490692117448e-01,8.527990457138630020e-01
8.483825399961955060e-01,8.692646323015662535e-01
9.306476162913114303e-01,8.561482956107884235e-01
8.465978994231836419e-01,8.524647146983073132e-01
8.769701726628282845e-01,8.605975364003236594e-01
9.073080040320306017e-01,8.233007481299549069e-01
8.835913137115007920e-01,8.594614369930526632e-01
8.699589417667789037e-01,8.518792060361641827e-01
8.939795298320639683e-01,8.334348853548728675e-01
8.967851303725410395e-01,8.458823449017176532e-01
8.818775920137296165e-01,8.504065414472847806e-01
8.675465219463259769e-01,8.321365050582589795e-01
8.639938285396439044e-01,7.755440877131829502e-01
8.966612513485856528e-01,8.358780401858360021e-01
8.448751258987768908e-01,8.139730751070671788e-01
8.698986029781732299e-01,8.745166248495707118e-01
8.505896894405047259e-01,8.117666378060249821e-01
8.446813878354281213e-01,7.786495731621385641e-01
8.678856985954279679e-01,8.780450078031549754e-01
8.811926010104400575e-01,8.553026115764026382e-01
8.618173984702416357e-01,8.426973510515096688e-01
8.646111232057506202e-01,8.246936788500831561e-01
8.378612572651519264e-01,8.286644424561481204e-01
8.579059965552390254e-01,8.527471558369555948e-01
8.803387335682644199e-01,8.825888219509278043e-01
8.632873877290379028e-01,8.035702715745556279e-01
8.812205907864563148e-01,8.699158659008311423e-01
8.499441956370624718e-01,8.123724784117182240e-01
8.708974143573252613e-01,8.225494596902389599e-01
9.271868746233067338e-01,8.533975515058856987e-01
8.479673174682131886e-01,8.688364711836189525e-01
8.636140409941353013e-01,9.084573586255707545e-01
9.366645160891891031e-01,8.932822344950825943e-01
8.921401356746083700e-01,8.682709205687683118e-01
9.170549616659553482e-01,8.680478061811930379e-01
8.239693085104340398e-01,8.530414145953167937e-01
9.151712251887459404e-01,8.479044570268385872e-01
8.775365665931799120e-01,7.858323259064674549e-01
8.477451171815140185e-01,8.615602862753000135e-01
8.906431658046999322e-01,8.771717567114524217e-01
9.403372305226083139e-01,8.388883098256486592e-01
8.768120036209321455e-01,7.850525988547829570e-01
8.794009803921446489e-01,8.200696082779891372e-01
8.814791574400631102e-01,8.580798990801629111e-01
8.601215949089116020e-01,8.691692139039974840e-01
8.470931219611161911e-01,8.492127909596877133e-01
8.567018228015959025e-01,7.858213243632391487e-01
8.313443212777410496e-01,8.293582954424607578e-01
9.197405192486206582e-01,7.940148921037809560e-01
9.179914217372940888e-01,8.453586662222511983e-01
8.754073336397784066e-01,8.026122048099595396e-01
8.626810176120438545e-01,8.540236257914717299e-01
8.668609915595835158e-01,8.168185618262341352e-01
8.674700259836409799e-01,8.270681268607901204e-01
8.464207374714314280e-01,8.215606835207680536e-01
8.488958833715175567e-01,8.192471794666640328e-01
8.892438819086169177e-01,7.996947027477147030e-01
